CLIENTE,LOCALIDAD, PROVINCIA ,lat,lon,tiempo_desde_sede_min ,cluster_label
1,HARO,LA RIOJA,42.5681060494229,-2.858152511919005,2.6643733923089656,0
3,STO. DOMINGO,LA RIOJA,42.43311981728221,-2.950749636445161,17.53671471018288,0
4,DURANA,ALAVA,42.88702626937825,-2.639513912965261,50.28053586254176,2
5,HARO,LA RIOJA,42.56905422294487,-2.858238342601868,2.765751487355585,0
6,VITORIA,ALAVA,42.83740036472884,-2.67009458503728,43.02760751579887,0
7,URDIAIN,NAVARRA,42.889614724865645,-2.138824319888948,85.09868158978396,2
9,LOGROÑO,LA RIOJA,42.45013177767869,-2.4478865559684446,44.07422643127,1
10,SAN VICENTE,LA RIOJA,42.55723123763941,-2.756225378311136,11.55352309479887,0
11,ALSASUA,NAVARRA,42.892317105968665,-2.160411690717142,83.50067426942512,2
17,HARO,LA RIOJA,42.57493609276223,-2.859989894465662,3.384404282241954,0
18,NANCLARES,ALAVA,42.815165330083616,-2.8168162684239704,35.582374196931795,0
19,SALINAS,ALAVA,42.80254330447877,-2.9882562588873665,35.326752285695086,0
20,MIRANDA,BURGOS,42.67981995425053,-2.963886889611098,19.29547003836449,0
21,SOTES,LA RIOJA,42.39728023698068,-2.6042157809448154,33.57288814195818,3
22,NALDA,LA RIOJA,42.33454755287178,-2.4836896934940373,48.1161385623555,3
23,LOGROÑO,LA RIOJA,42.475448286225976,-2.4468037913154816,43.25489690349927,1
24,PRADEJÓN,LA RIOJA,42.33162748891024,-2.065080895522403,84.9984719313391,1
25,EL RASILLO,LA RIOJA,42.19476099225876,-2.7015883235318703,50.486641639360094,3
26,NIEVA,LA RIOJA,42.21901538839893,-2.6669882496729835,48.77943166186787,3
28,CENICERO,LA RIOJA,42.48705296252269,-2.632611302334742,25.23160195868196,3
29,LAGUARDIA,ALAVA,42.54642310684659,-2.5766050847639863,29.24075265969265,3
30,LOGROÑO,LA RIOJA,42.46545739135944,-2.4161055824786333,46.517235806009616,1
31,AGONCILLO,LA RIOJA,42.44963382972144,-2.29434887357344,58.68897720506,1
32,VITORIA,ALAVA,42.83850032905385,-2.7097929385014563,41.49556846933008,0
34,CENICERO,LA RIOJA,42.48041291685753,-2.6496428761331576,23.99603474552148,3
35,LAGUARDIA,ALAVA,42.55939829735747,-2.6040212194601047,26.548876806419845,3
36,BRIONES,LA RIOJA,42.54363626665786,-2.780999982678883,9.147860048477623,0
37,NAJERA,LA RIOJA,42.41516740455801,-2.739775456567488,22.440104362323307,3
39,HARO,LA RIOJA,42.57902249595814,-2.8458665254033586,4.551263863592524,0
40,VITORIA,ALAVA,42.84559898403419,-2.640015287006884,45.41695375970845,0
41,MIRANDA,BURGOS,42.69398677237486,-2.943052771196253,20.200367419372192,0
44,SESMA,NAVARRA,42.47596610323336,-2.084939920137933,78.38507861578348,1
45,LERÍN,NAVARRA,42.483451147662834,-1.9662847839221445,89.89052851744651,1
46,LOS ARCOS,NAVARRA,42.573982646482136,-2.1932569768030103,67.06849223863539,1
48,ARAIA,ALAVA,42.88686325403397,-2.313917076959883,70.85670538106656,2
49,CENICERO,LA RIOJA,42.48326712304896,-2.6388964803139454,24.830795329387463,3
50,FUENMAYOR,LA RIOJA,42.46763096774849,-2.555735355173662,33.24565017514746,3
